Eop_fJ,Rtheta_K_W,Rtheta_over_required_ratio,assumed_peak_ops_s,avg_deltaT_C,avg_junction_C,below_85C_hotspot,heat_flux_W_cm2,hotspot_deltaT_C,hotspot_factor,hotspot_junction_C,layers,max_safe_activity_fraction,max_safe_activity_percent,power_W,required_Rtheta_K_W_for_85C,scenario
0.2,1.22,20.374,1.67e+18,407.48,432.48,NO,13.36,1222.44,3.0,1247.44,50,0.04908216354176892,4.908216354176892,334.0,0.059880239520958084,aspirational ExaOPS thermal stress model
1.0,1.22,33.95666666666667,1.67e+18,2037.4000000000003,2062.4000000000005,NO,66.80000000000001,2037.4000000000003,1.0,2062.4000000000005,50,0.02944929812506135,2.944929812506135,1670.0000000000002,0.03592814371257484,aspirational ExaOPS thermal stress model
1.0,1.22,67.91333333333334,1.67e+18,2037.4000000000003,2062.4000000000005,NO,66.80000000000001,4074.8000000000006,2.0,4099.800000000001,50,0.014724649062530674,1.4724649062530675,1670.0000000000002,0.01796407185628742,aspirational ExaOPS thermal stress model
1.0,1.22,101.87000000000002,1.67e+18,2037.4000000000003,2062.4000000000005,NO,66.80000000000001,6112.200000000001,3.0,6137.200000000001,50,0.009816432708353784,0.9816432708353784,1670.0000000000002,0.011976047904191614,aspirational ExaOPS thermal stress model
10.0,1.22,339.56666666666666,1.67e+18,20374.0,20399.0,NO,668.0,20374.0,1.0,20399.0,50,0.002944929812506135,0.2944929812506135,16700.0,0.003592814371257485,aspirational ExaOPS thermal stress model
10.0,1.22,679.1333333333333,1.67e+18,20374.0,20399.0,NO,668.0,40748.0,2.0,40773.0,50,0.0014724649062530675,0.14724649062530676,16700.0,0.0017964071856287425,aspirational ExaOPS thermal stress model
10.0,1.22,1018.7,1.67e+18,20374.0,20399.0,NO,668.0,61122.0,3.0,61147.0,50,0.0009816432708353784,0.09816432708353784,16700.0,0.0011976047904191617,aspirational ExaOPS thermal stress model
100.0,1.22,3395.6666666666665,1.67e+18,203740.0,203765.0,NO,6680.0,203740.0,1.0,203765.0,50,0.0002944929812506135,0.029449298125061352,167000.0,0.0003592814371257485,aspirational ExaOPS thermal stress model
100.0,1.22,6791.333333333333,1.67e+18,203740.0,203765.0,NO,6680.0,407480.0,2.0,407505.0,50,0.00014724649062530676,0.014724649062530676,167000.0,0.00017964071856287425,aspirational ExaOPS thermal stress model
100.0,1.22,10187.0,1.67e+18,203740.0,203765.0,NO,6680.0,611220.0,3.0,611245.0,50,9.816432708353784e-05,0.009816432708353784,167000.0,0.00011976047904191617,aspirational ExaOPS thermal stress model
